sample,True R,True G,True B,Observed R,Observed G,Observed B,Red R,Red G,Red B,Green R,Green G,Green B,Blue R,Blue G,Blue B,camera
8002-12B_7_rotate_8,236,187,168,229,190,149,193,46,56,29,74,54,29,38,71,3
2002-6C_3_gamma_3,236,184,174,211,172,146,166,56,53,52,88,74,31,42,77,3
2003-6B_3,233,165,140,237,170,99,220,50,19,41,127,57,58,74,153,3
8002-12B_6_hue_2,236,187,168,241,199,129,206,47,30,17,100,70,42,56,128,3
2003-6C_8_gaussian_blur_5,242,201,186,229,204,163,209,54,40,31,111,68,48,65,134,3
2003-6B_4,233,165,140,235,167,100,217,44,14,27,118,48,47,62,136,3
8002-12C_7_motion_blur_4,222,158,133,213,165,117,195,54,51,24,89,63,48,65,119,3
8002-9B_2_motion_blur_4,238,194,187,225,173,134,171,31,40,46,73,54,26,28,53,3
2001-6B_3_gaussian_blur_5,125,179,176,236,175,132,219,46,16,38,130,61,50,67,147,3
2001-4B_1_hue_2,235,189,190,228,166,143,209,19,19,36,117,46,48,76,141,3
2001-6B_7_clahe_6,125,179,176,192,163,128,171,42,35,10,79,51,39,59,109,3
8002-12C_3_motion_blur_4,222,158,133,232,161,97,221,45,14,30,125,51,54,69,146,3
2001-6B_4_brightness_1,125,179,176,200,172,148,158,61,54,50,91,71,37,52,85,3
2001-4B_2,235,189,190,242,190,153,222,47,16,32,130,58,51,69,150,3
8002-12B_7_brightness_1,236,187,168,254,216,169,220,50,61,29,81,58,31,40,79,3
2001-4B_7_gamma_3,235,189,190,222,165,136,159,24,33,29,60,42,20,24,49,3
2002-6C_8_motion_blur_4,236,184,174,232,187,147,217,55,42,38,114,71,59,73,139,3
8002-12C_1_gamma_3,222,158,133,197,149,113,163,47,48,41,82,67,22,36,75,3
8002-12B_1_clahe_6,236,187,168,217,171,109,200,29,4,16,111,43,42,64,141,3
2001-6B_3_brightness_1,125,179,176,241,186,148,225,70,42,62,145,83,72,89,161,3
2001-4B_5,235,189,190,237,187,160,204,50,58,33,72,53,31,38,67,3
2003-6B_1_gamma_3,233,165,140,235,166,104,212,47,33,36,99,54,51,61,114,3
2003-6C_1_clahe_6,242,201,186,193,159,105,185,3,2,5,97,28,22,51,131,3
8002-9B_2,238,194,187,225,173,134,171,31,40,47,74,55,26,28,53,3
2001-4B_7_brightness_1,235,189,190,239,185,157,179,40,50,46,80,60,36,40,69,3
2002-4B_3_gamma_3,239,184,184,229,178,148,189,42,49,25,68,48,26,35,65,3
2001-6B_5_noise_7,125,179,176,231,182,152,199,53,62,32,80,59,33,42,76,3
8002-9B_5,238,194,187,201,174,143,182,57,31,24,80,43,25,39,83,3
8002-9B_6_gamma_3,238,194,187,239,194,153,219,55,27,50,136,68,63,81,158,3
